ID,Product,Category,Price,OutOfDate
1,"Coke - Classic, 355 Ml",Невкусные,$61.63,false
2,Bols Melon Liqueur,Неизвестно,$41.04,false
3,Beef - Prime Rib Aaa,Неизвестно,$75.64,false
4,Capers - Ox Eye Daisy,Неизвестно,$80.10,false
5,Dawn Professionl Pot And Pan,Вкусные,$48.45,true
6,Cookies Cereal Nut,Невкусные,$65.95,true
7,Beef - Striploin,Невкусные,$70.46,true
8,Beer - Molson Excel,Неизвестно,$47.49,true
9,"Wine - Harrow Estates, Vidal",Вкусные,$75.42,false
10,Cleaner - Lime Away,Невкусные,$14.07,true
11,"Shrimp - Baby, Warm Water",Невкусные,$87.34,false
12,Yucca,Невкусные,$86.31,false
13,Squid Ink,Вкусные,$46.16,false
14,Cookie Trail Mix,Невкусные,$88.07,false
15,Cheese - Sheep Milk,Вкусные,$42.73,false
16,Rum - Mount Gay Eclipes,Вкусные,$82.60,true
17,Cheese - Brie,Невкусные,$24.84,false
18,"Carrots - Mini, Stem On",Вкусные,$11.02,false
19,"Chilli Paste, Hot Sambal Oelek",Невкусные,$73.35,true
20,Wine - Alicanca Vinho Verde,Невкусные,$19.08,false
21,Tea - Herbal Orange Spice,Вкусные,$12.44,true
22,Eggs - Extra Large,Вкусные,$54.03,false
23,Chocolate - Milk Coating,Невкусные,$78.61,false
24,Flower - Dish Garden,Вкусные,$93.90,false
25,Calvados - Boulard,Вкусные,$79.87,false
26,"Wine - White, Chardonnay",Неизвестно,$17.72,true
27,Tomatoes - Hot House,Невкусные,$68.59,true
28,"Chicken - Wings, Tip Off",Вкусные,$12.81,false
29,"Apple - Delicious, Golden",Вкусные,$97.41,false
30,"Sparkling Wine - Rose, Freixenet",Неизвестно,$74.33,false
31,Onions - Red Pearl,Неизвестно,$24.49,true
32,Bread - Italian Sesame Poly,Невкусные,$61.32,true
33,Roe - Flying Fish,Невкусные,$86.79,false
34,Coffee Decaf Colombian,Невкусные,$70.74,true
35,Truffle Cups - Red,Неизвестно,$56.33,true
36,Mix Pina Colada,Невкусные,$88.36,false
37,Cookie - Oreo 100x2,Невкусные,$31.22,false
38,"Crab - Claws, Snow 16 - 24",Неизвестно,$62.81,true
39,Tomatoes Tear Drop,Вкусные,$47.48,true
40,Soy Protein,Невкусные,$72.31,true
41,"7up Diet, 355 Ml",Неизвестно,$48.53,false
42,"Cheese - Cheddar, Medium",Невкусные,$89.16,true
43,Soup - Campbells Chicken,Вкусные,$49.56,false
44,Almonds Ground Blanched,Неизвестно,$16.53,true
45,Veal - Eye Of Round,Вкусные,$31.54,false
46,Bread - Pita,Неизвестно,$81.47,false
47,Cake Sheet Combo Party Pack,Невкусные,$29.78,false
48,Cheese - Taleggio D.o.p.,Вкусные,$55.60,false
49,Initation Crab Meat,Вкусные,$37.17,false
50,Wine - Chianti Classico Riserva,Вкусные,$69.54,true
51,Lettuce - Iceberg,Невкусные,$82.38,true
52,Peas - Frozen,Вкусные,$81.07,false
53,Grouper - Fresh,Невкусные,$42.69,false
54,Pastry - Chocolate Chip Muffin,Вкусные,$90.87,true
55,Dawn Professionl Pot And Pan,Неизвестно,$28.44,true
56,Pork - Backs - Boneless,Неизвестно,$83.71,false
57,Basil - Thai,Вкусные,$14.60,true
58,Chinese Foods - Chicken,Вкусные,$75.86,false
59,Basil - Thai,Неизвестно,$65.82,false
60,Oil - Shortening - All - Purpose,Невкусные,$62.31,false
61,Muffin Mix - Chocolate Chip,Вкусные,$59.23,false
62,Tomatoes - Yellow Hot House,Невкусные,$71.66,false
63,Butcher Twine 4r,Неизвестно,$78.19,true
64,Cheese - Comtomme,Вкусные,$18.23,true
65,Salad Dressing,Неизвестно,$93.85,true
66,Soup - Campbells Mushroom,Невкусные,$16.45,true
67,Butter Balls Salted,Неизвестно,$89.58,false
68,Cookie Chocolate Chip With,Вкусные,$41.21,false
69,Pasta - Ravioli,Неизвестно,$89.73,false
70,The Pop Shoppe - Grape,Вкусные,$31.46,false
71,"Nut - Pine Nuts, Whole",Невкусные,$36.76,false
72,Cheese - Cambozola,Вкусные,$54.92,true
