Target_ID,Param1,Param2,Param3,Category,HasWeapon
18-3279071,784,97.3,78.23,Track,true
17-3526500,589,95.31,44.22,Plane,false
82-8189823,576,99.8,15.72,Track,false
95-5034249,212,20.85,12.38,Ship,true
69-5341531,727,26.94,96.58,Track,false
23-1210643,21,11.53,52.71,Plane,false
40-5188387,380,17.48,83.3,Plane,false
38-5790428,213,70.2,26.8,Ship,true
32-9557410,904,35.49,24.51,Ship,true
37-2083120,185,85.11,24.88,Plane,false
54-2124486,384,60.8,99.94,Track,false
43-4052203,726,88.5,35.19,Ship,false
57-3872356,245,55.33,87.89,Ship,false
50-7707342,308,21.4,62.15,Plane,false
41-0515882,753,80.45,86.98,Ship,true
42-9099272,734,26.95,46.85,Ship,false
92-0287386,617,3.78,41.55,Plane,true
54-3980212,791,78.67,30.83,Plane,false
12-3855408,402,76.56,37.23,Track,true
43-8463308,229,92.77,4.83,Ship,true
93-5482135,937,91.48,69.08,Track,false
34-6924255,464,97.41,88.99,Track,false
76-7183641,318,85.6,38.15,Plane,true
56-7306028,136,29.45,5.55,Ship,false
02-0142615,877,85.56,41.99,Track,true
24-1555099,46,51.58,14.71,Track,true
30-9031447,896,2.27,16.15,Ship,true
00-3971823,124,30.34,33.93,Ship,true
03-0157904,637,80.18,89.29,Ship,false
91-6710040,792,83.57,96.05,Plane,true
54-7452427,96,75.24,77.07,Track,true
25-1315661,16,59.8,49.48,Ship,false
31-0409089,655,26.2,43.94,Track,false
44-6181656,666,71.27,2.11,Track,true
13-9620606,406,76.93,84.35,Plane,false
61-5841600,688,37.99,20.56,Track,false
33-6633258,333,74.53,11.09,Plane,true
10-5292123,353,6.38,64.01,Ship,false
94-1977916,567,28.71,57.75,Ship,false
79-3874870,746,16.97,84.68,Ship,false
94-3492428,373,66.61,83.24,Ship,true
61-5338257,831,26.06,84.39,Plane,false
35-2238969,777,15.52,24.33,Ship,true
12-2347258,289,29.59,29.88,Plane,false
75-5400696,262,85.6,68.17,Ship,false
17-7925808,275,54.62,95.62,Ship,false
27-8472037,550,89.42,75.09,Track,false
18-1607390,527,2.12,94.9,Ship,false
83-9428455,952,34.19,97.7,Plane,false
83-8625311,937,74.41,53.07,Ship,true
52-7388628,781,48.16,93.38,Track,true
15-0067464,213,79.81,86.2,Track,true
19-9647901,515,75.72,12.15,Track,false
37-3285115,289,84.82,48.76,Ship,false
25-6204040,928,51.75,7.88,Track,true
03-0642694,657,81.99,32.61,Track,false
59-9729217,66,68.32,40.13,Track,true
21-2294940,317,85.62,32.54,Track,false
99-1368435,853,8.16,93.62,Ship,false
81-0659103,576,24.03,7.05,Plane,true
10-4438552,359,84.1,7.91,Plane,true
08-7859433,759,66.1,90.35,Ship,true
38-8982676,35,75.49,89.6,Ship,false
78-9536404,457,15.34,16.1,Ship,false
51-2846039,663,33.9,21.15,Ship,true
92-6019167,882,72.15,70.34,Plane,true
59-1173282,703,76.36,79.61,Track,false
62-4925936,763,34.18,51.24,Track,false
12-0069006,880,14.6,48.35,Track,true
10-1767062,914,96.68,92.9,Plane,true
30-7251288,444,20.66,0.16,Plane,false
02-6611837,550,26.76,52.21,Plane,true
66-6658739,146,58.99,40.54,Track,false
26-8823682,592,22.27,18.36,Track,false
25-1831593,404,93.19,42.88,Ship,false
45-1924935,72,5.44,22.65,Plane,true
91-1304020,282,50.31,80.76,Plane,false
93-4769603,125,61.45,85.59,Plane,false
95-3018961,911,95.31,61.49,Plane,true
70-7198048,163,68.32,78.97,Track,true
10-6292206,611,55.42,50.82,Ship,true
03-1823876,642,61.0,11.57,Ship,false
28-9953738,387,59.46,52.38,Ship,true
22-6920562,237,77.96,51.21,Plane,false
97-1058770,315,93.11,97.61,Ship,true
02-0593263,977,51.92,84.45,Plane,true
95-0334517,956,44.6,4.71,Track,false
93-7765726,814,58.5,93.44,Ship,false
80-8220520,426,39.63,87.7,Ship,true
15-9781894,644,28.5,11.67,Plane,true
96-7972912,933,67.38,38.83,Track,true
35-1481914,569,79.89,43.18,Track,false
13-1515779,383,64.8,28.24,Plane,true
21-6799438,442,25.21,65.44,Plane,true
86-1106833,327,77.79,11.75,Ship,true
97-2501532,373,69.58,67.83,Ship,false
54-1588864,937,3.76,57.76,Ship,true
92-6819209,292,22.38,8.79,Track,true
80-2990711,183,26.35,65.05,Ship,false
27-4428071,731,19.31,84.52,Ship,false
67-1424516,752,42.01,58.87,Ship,true
35-1303404,586,93.57,63.24,Ship,false
59-6455328,868,72.97,17.5,Track,false
80-4204768,824,69.06,52.33,Ship,true
72-6212684,236,6.18,5.86,Track,true
35-1137842,59,95.53,71.49,Plane,true
44-5777035,376,25.24,54.09,Ship,false
87-5473029,979,74.91,82.32,Plane,true
31-2400005,12,40.88,38.59,Plane,false
22-4997795,465,0.63,3.79,Plane,false
53-5363330,557,66.38,38.58,Plane,false
72-8747018,897,88.97,88.15,Track,false
83-9516658,183,54.8,44.31,Ship,true
05-9046798,101,9.08,98.21,Plane,false
13-5912573,171,75.95,16.47,Track,false
98-6835380,34,64.44,67.0,Track,false
88-4668870,366,97.04,75.93,Track,false
14-8112927,357,21.9,14.68,Ship,true
81-7105210,647,22.11,55.79,Track,true
89-4071191,622,46.62,36.7,Plane,false
32-1145270,724,44.72,3.91,Track,true
45-1264540,399,50.04,34.58,Plane,false
50-9419744,909,16.43,46.23,Plane,true
43-1094955,250,91.39,71.92,Track,true
61-9441243,422,79.84,94.09,Ship,false
32-4636877,658,96.43,92.39,Ship,false
09-2490996,818,99.69,66.09,Track,true
22-8550084,926,33.23,23.34,Ship,true
96-7796218,666,96.42,93.35,Plane,true
52-0646892,796,30.59,24.09,Track,false
60-1041713,511,11.36,18.72,Ship,false
74-7735634,840,92.99,13.85,Ship,true
47-9750848,498,90.99,73.68,Track,true
40-4853178,481,4.71,3.01,Ship,true
93-2329837,464,82.6,27.98,Plane,false
84-1875124,92,64.98,1.84,Plane,false
24-1216644,996,82.53,53.63,Plane,true
04-8900227,407,15.25,77.72,Plane,false
74-7751118,24,55.75,75.25,Ship,true
17-5387274,556,24.9,96.74,Plane,false
33-5929688,959,43.79,89.43,Ship,true
91-9581457,177,45.2,60.15,Ship,true
59-4491931,111,60.69,77.01,Plane,true
78-0505104,683,19.74,53.89,Plane,false
19-9876404,357,33.58,40.02,Track,true
86-9567319,272,62.93,55.16,Ship,false
73-4376068,667,10.99,88.87,Ship,false
00-2515752,387,53.86,26.89,Plane,false
54-7769778,160,53.92,78.73,Ship,false
84-7544706,452,48.21,63.55,Ship,false
72-2634556,284,76.11,76.29,Track,true
09-5150179,593,98.2,15.48,Ship,true
01-0669894,29,28.93,69.76,Ship,false
34-4023096,200,10.86,79.94,Ship,false
37-5028013,728,91.07,19.31,Track,true
83-1959765,34,25.2,35.59,Ship,true
49-8485461,175,41.32,5.81,Plane,true
52-9041213,353,62.08,29.43,Plane,true
69-6591407,956,5.43,97.15,Ship,false
93-4184792,578,5.73,29.18,Plane,true
23-2594587,21,43.51,44.15,Plane,false
17-5992177,484,6.08,78.63,Plane,false
82-4844299,402,40.6,77.72,Ship,true
11-3689443,235,4.01,15.12,Plane,false
05-8448385,536,96.83,98.26,Track,true
51-7550026,121,21.38,36.77,Ship,true
62-8137757,83,64.0,4.95,Plane,false
18-2711303,601,43.45,9.75,Track,true
19-9514358,539,96.69,18.36,Track,false
57-3438010,279,67.98,63.21,Plane,true
75-5198880,26,41.18,65.69,Track,true
39-5160441,641,74.49,34.26,Track,true
04-8348847,682,27.96,42.51,Ship,false
01-3218808,544,57.15,18.7,Track,true
17-4968226,781,59.62,34.57,Ship,false
19-9332227,128,22.98,18.47,Track,false
23-0017399,74,10.83,14.68,Ship,false
26-6092381,542,80.83,90.62,Plane,true
33-6214311,244,1.47,82.37,Ship,true
18-1111343,123,84.63,54.3,Track,false
58-7454018,153,81.72,70.39,Track,true
00-9933182,838,42.75,20.82,Track,true
97-5493068,86,82.93,32.4,Plane,true
66-2378232,936,30.08,54.43,Ship,true
00-4688581,154,93.53,54.09,Plane,true
83-0801026,370,73.82,41.84,Ship,true
53-0981955,782,10.39,67.52,Ship,false
64-2278371,479,32.61,60.68,Track,true
03-5554345,148,63.24,32.52,Plane,true
39-8947776,772,20.96,91.43,Track,false
90-0070515,44,78.7,7.24,Track,false
99-5131493,801,42.56,86.06,Plane,false
85-2347479,537,78.01,94.24,Ship,false
03-5548840,44,36.3,75.57,Ship,false
00-2043826,328,7.46,73.25,Track,true
13-1115421,701,55.41,35.83,Plane,true
27-9602028,410,83.51,39.61,Ship,true
76-7842987,899,3.85,58.62,Track,false
99-9653346,65,18.0,99.63,Ship,true
58-0602627,632,20.48,46.65,Plane,false
63-4088370,414,4.05,78.45,Track,true
93-5831575,829,67.39,87.4,Ship,true
45-8712802,762,35.26,18.25,Ship,false
48-7739861,167,74.03,29.35,Track,true
75-5738756,389,51.15,5.76,Plane,false
02-9143452,985,17.57,12.98,Ship,true
67-4181569,619,32.27,70.17,Plane,true
59-3795025,339,88.97,0.18,Track,true
70-3386701,21,28.68,8.48,Ship,true
45-4576427,104,88.96,38.1,Plane,false
15-2030606,386,74.39,87.92,Ship,true
86-9388204,859,94.59,48.44,Plane,false
54-2801218,386,17.67,32.34,Plane,true
50-9909278,197,67.77,27.39,Ship,true
30-6038468,801,29.16,5.34,Plane,false
55-3730021,926,46.98,80.92,Plane,true
97-1756949,828,69.41,97.75,Ship,true
28-2133022,409,17.63,3.43,Track,true
72-2966913,387,10.46,60.84,Track,false
37-3739164,385,48.19,18.08,Ship,false
78-0179881,892,94.36,96.54,Plane,false
38-0949827,306,79.94,25.38,Ship,false
59-5832626,585,80.46,79.76,Plane,false
73-1045578,144,6.7,56.6,Plane,true
72-1683250,930,6.3,26.08,Ship,true
41-3650039,847,86.45,94.56,Ship,false
77-8465513,941,23.54,58.37,Ship,false
