ID,Name,Company,Price,Count,Category,discount
94-0806214,Snapple Lemon Tea,,$82.36,1,B,44
27-6321352,Squid - U - 10 Thailand,Jaromye,$752.21,24,C,6
14-2723478,Cheese - Comte,Zoory,$685.24,17,D,49
11-9048000,Sugar - Splenda Sweetener,Nestle Std,$239.45,29,B,20
97-2973754,Pastry - Chocolate Marble Tea,Jaromye,$99.63,7,B,49
73-1103735,Pork - European Side Bacon,Nestle Std,$356.17,3,A,39
98-5441874,Salmon Steak - Cohoe 8 Oz,Jaromye,$842.99,1,B,10
67-7933343,Flower - Dish Garden,Waka-waka,$578.73,5,A,27
60-0094903,Smoked Tongue,Waka-waka,$818.93,50,A,24
06-9717473,Dry Ice,Zoory,$337.07,5,A,8
65-8586233,Carbonated Water - Strawberry,Zoory,$582.67,27,D,31
84-3448711,Avocado,Waka-waka,$129.51,45,C,16
93-3709967,Oats Large Flake,Jaromye,$476.46,36,A,29
67-4346814,Pepper - Red Thai,Jaromye,$784.79,1,D,7
35-0165029,Chips Potato Reg 43g,Jaromye,$818.77,19,B,40
95-6726324,Onions - Spanish,Zoory,$435.10,24,D,38
87-5523692,Nacho Chips,Waka-waka,$399.00,35,D,33
63-6028684,Sugar - Cubes,,$97.97,29,D,21
23-3786143,Pie Filling - Cherry,Nestle Std,$321.77,29,A,24
21-0651370,Table Cloth - 53x69 Colour,Zoory,$614.84,23,B,45
52-4292304,Cheese - Ermite Bleu,Jaromye,$524.04,30,B,50
48-5220528,Plate Foam Laminated 9in Blk,Jaromye,$575.44,26,A,0
72-9938673,"Wine - Red, Colio Cabernet",Waka-waka,$920.09,36,D,16
08-7536205,Parasol Pick Stir Stick,Nestle Std,$403.80,50,B,34
12-4881322,Beef - Bresaola,Zoory,$255.19,29,D,40
85-2561070,Cups 10oz Trans,Jaromye,$603.94,1,B,3
87-2575452,Eel Fresh,Jaromye,$61.17,4,B,1
98-3008084,Chips - Potato Jalapeno,Waka-waka,$52.02,14,D,32
58-5559378,Bagel - Sesame Seed Presliced,Jaromye,$135.69,30,A,21
34-9877467,Milk - Homo,Waka-waka,$617.56,2,D,19
58-8320763,Beef Wellington,Zoory,$819.81,3,C,20
95-7529768,Beef - Tenderloin Tails,Jaromye,$887.68,2,C,5
01-2943380,Beef - Striploin,Waka-waka,$892.94,29,A,29
14-1526647,Wine - Merlot Vina Carmen,Waka-waka,$597.70,20,A,4
88-9599442,Pork - Bacon Cooked Slcd,Jaromye,$295.22,16,A,39
72-2451476,Oil - Margarine,Jaromye,$873.16,31,D,3
89-7374062,Oil - Safflower,Zoory,$628.14,11,D,36
01-0340770,Lettuce - Arugula,Waka-waka,$954.28,21,C,34
39-2101513,Beef - Top Sirloin,Waka-waka,$436.88,45,A,45
55-5590368,Soup Campbells Mexicali Tortilla,Zoory,$982.21,25,A,18
57-1192276,Pork - Belly Fresh,Jaromye,$682.04,49,D,9
63-7448194,Pineapple - Golden,Jaromye,$473.42,31,B,4
82-5753467,Trout - Smoked,Zoory,$358.30,6,C,11
56-6572254,Flour Dark Rye,,$505.38,31,B,25
11-7075523,Clam Nectar,Waka-waka,$227.06,3,B,41
60-8359783,Beer - Heinekin,Zoory,$286.44,4,B,33
20-8534068,Sobe - Green Tea,,$848.28,18,B,47
73-4973399,"Water - Mineral, Carbonated",Nestle Std,$564.02,44,D,16
94-5482109,Wine - Kwv Chenin Blanc South,Jaromye,$62.15,23,C,14
40-0284923,"Nut - Walnut, Chopped",Nestle Std,$713.53,32,C,4
85-1833756,Wine - Delicato Merlot,,$698.51,1,A,26
82-1537741,Veal - Insides Provini,Nestle Std,$66.87,48,B,32
43-9920404,Pecan Raisin - Tarts,,$573.95,30,C,20
36-5581905,Baking Powder,,$782.41,47,A,44
78-3981062,Graham Cracker Mix,Jaromye,$236.28,25,B,19
74-4688627,Milk 2% 500 Ml,,$761.30,19,D,36
54-7205047,"Coffee - Beans, Whole",Waka-waka,$293.83,40,C,17
93-6375432,Catfish - Fillets,,$529.31,2,A,23
19-1129372,"Tart Shells - Barquettes, Savory",Nestle Std,$750.64,11,D,17
46-8755547,Versatainer Nc - 8288,Waka-waka,$248.96,36,B,11
20-4318181,Shrimp - 31/40,Waka-waka,$276.12,38,B,17
97-6459993,Napkin White,,$45.07,13,D,25
94-1963883,Maintenance Removal Charge,Nestle Std,$41.79,24,A,33
73-3033770,Glass - Juice Clear 5oz 55005,Waka-waka,$771.23,4,A,1
67-9662218,"Beef - Rib Roast, Capless",,$735.18,1,B,39
80-9767782,Ice Cream Bar - Drumstick,Waka-waka,$294.99,3,B,29
67-5203363,Crackers Cheez It,Zoory,$296.10,37,C,11
14-8834727,Wine - Baron De Rothschild,Jaromye,$858.39,50,A,12
00-4997764,Pepper - Red Chili,Nestle Std,$82.87,46,A,41
69-8522193,Soupfoamcont12oz 112con,Nestle Std,$306.84,34,B,41
03-4279823,"Pork - Sausage, Medium",Zoory,$195.52,43,D,9
21-0045751,Soup Campbells Split Pea And Ham,Waka-waka,$882.64,2,D,11
21-4658378,Sugar - Cubes,Waka-waka,$261.00,49,B,7
75-8908746,"Lamb - Whole, Frozen",,$416.27,29,C,8
23-1279115,Soup - Campbells Mac N Cheese,Waka-waka,$652.14,29,B,29
09-9329640,Garbag Bags - Black,Zoory,$724.67,24,C,32
09-7398650,Beer - Blue,Waka-waka,$677.14,18,A,2
20-4367102,Pears - Anjou,Nestle Std,$711.66,28,B,0
