ID,Name,Category,Count,Price,Store
23-7227886,Shortbread - Cookie Crumbs,D,25,$27.22,Northern
88-6479650,Sauce - Plum,B,31,$93.74,Southern
98-0314776,"Nut - Almond, Blanched, Ground",A,72,$79.84,Western
37-0335092,"Fish - Base, Bouillion",D,83,$73.84,
50-7317529,Puree - Raspberry,B,99,$72.27,Eastern
29-9791904,Bread - Pumpernickel,B,16,$64.67,Eastern
18-3746912,Beef - Sushi Flat Iron Steak,,25,$55.17,Eastern
81-7545254,Flower - Carnations,A,48,$93.34,Northern
83-1541467,Kellogs Cereal In A Cup,,65,$52.02,Southern
12-1995894,Hersey Shakes,D,39,$32.97,Eastern
35-7869370,Onions - Red Pearl,D,57,$36.40,Southern
62-2686927,Clam - Cherrystone,A,72,$66.77,Eastern
71-5553148,Cheese - Cambozola,,45,$47.29,Southern
89-5949899,Island Oasis - Mango Daiquiri,,38,$36.52,
82-5117402,"Wine - White, Gewurtzraminer",,43,$5.81,Western
72-7325625,Muffin Mix - Raisin Bran,C,50,$76.20,Western
62-4075462,Beef - Shank,,83,$88.36,
19-6199875,Beef Ground Medium,,98,$49.49,
19-3121540,"Orange - Canned, Mandarin",C,26,$50.65,
56-7282314,Kiwano,D,53,$94.87,Northern
25-7079247,Ice Cream - Strawberry,,12,$48.59,Western
04-3109642,Aspic - Amber,B,89,$47.31,Southern
63-3917522,Glove - Cutting,D,35,$16.98,Eastern
57-8916733,"Chilli Paste, Ginger Garlic",C,47,$7.78,Northern
97-5046195,Marzipan 50/50,D,67,$41.73,Northern
53-7053152,Blueberries - Frozen,,26,$77.93,Northern
28-0827377,Cheese - Taleggio D.o.p.,,58,$41.71,Southern
36-5422832,Rabbit - Frozen,D,59,$99.44,
22-4499433,Sole - Fillet,,22,$28.50,Western
34-3916479,Bread - White Mini Epi,A,13,$30.66,Southern
10-4773057,Calypso - Lemonade,C,11,$31.74,
98-4578817,Pepper - Sorrano,C,61,$43.17,
20-8176230,Flour - Masa De Harina Mexican,A,31,$89.69,Southern
84-0888345,Liners - Baking Cups,B,71,$69.53,Western
81-9741742,Huck Towels White,D,27,$28.43,Western
45-9025114,Dates,C,53,$16.40,Southern
49-3214667,Water - Spring 1.5lit,A,83,$58.64,Western
86-2614586,Edible Flower - Mixed,,85,$16.41,Eastern
37-1389036,Greens Mustard,D,76,$59.36,Western
81-7753351,Tomatoes - Hot House,C,45,$13.11,Southern
85-2880630,Pepper - Red Bell,A,91,$52.62,Eastern
75-0321837,Wine - German Riesling,,89,$53.22,Northern
48-0934608,Ocean Spray - Kiwi Strawberry,B,64,$45.45,Western
57-6809799,Mangoes,,100,$63.87,Western
41-2124461,Parsley - Dried,B,88,$93.97,Northern
79-5254633,Fuji Apples,C,59,$30.13,Western
22-3657295,Cake - Sheet Strawberry,B,98,$6.84,Western
30-9116256,Clam - Cherrystone,C,28,$71.93,Northern
98-5249547,Chip - Potato Dill Pickle,D,15,$22.64,Western
11-6310696,Taro Leaves,,12,$42.53,Northern
47-5248469,Bagel - Ched Chs Presliced,B,20,$26.76,Eastern
52-6394268,Peas Snow,A,14,$17.56,Northern
64-0801490,Wine - Merlot Vina Carmen,,83,$68.52,Western
21-2677254,Pepper - Chilli Seeds Mild,D,100,$65.41,Western
69-5814319,Baking Powder,D,95,$66.55,Western
86-3030619,"Arctic Char - Fresh, Whole",,10,$41.48,Western
74-5115566,Foil - Round Foil,A,100,$44.89,Southern
09-9482460,Skirt - 24 Foot,D,49,$27.37,Western
42-6778629,Mace,B,25,$85.73,Southern
54-6504247,Tart - Butter Plain Squares,B,56,$11.53,Northern
87-8615531,Pepper - Scotch Bonnet,,77,$95.00,Northern
22-5341614,Beer - Blue,C,39,$55.48,Eastern
26-8265102,Bagel - Everything Presliced,A,9,$30.81,Eastern
25-0602700,Pork - Shoulder,D,39,$86.11,Western
68-2897590,Muffin Mix - Raisin Bran,B,11,$37.96,Western
71-8205412,Pepper - Red Bell,D,95,$58.15,Western
82-2178778,Spring Roll Wrappers,D,38,$84.76,Western
66-8003880,Coffee - Cafe Moreno,B,98,$12.75,Southern
43-9996224,"Beef - Ox Tail, Frozen",D,55,$75.12,Western
15-3195450,Ecolab - Balanced Fusion,A,92,$55.66,
17-1774899,"Sauce - White, Mix",A,40,$13.91,Northern
30-8641059,Beef - Inside Round,D,46,$58.49,Western
00-9159365,Wine - Prosecco Valdobienne,,75,$21.34,Northern
19-2149939,The Pop Shoppe - Black Cherry,B,64,$82.62,Northern
58-4525593,Wine - Cave Springs Dry Riesling,C,62,$67.38,
48-4254389,Sobe - Lizard Fuel,D,58,$57.92,Northern
35-6676510,Pork - Hock And Feet Attached,A,95,$48.57,
91-6346875,Pop - Club Soda Can,C,79,$56.94,Southern
04-2774251,Ginger - Ground,B,21,$74.01,
84-2621652,Pate Pans Yellow,B,14,$22.37,
47-1066098,Oil - Cooking Spray,C,45,$33.58,Western
77-1152000,"Garlic - Primerba, Paste",,69,$64.52,Southern
24-3389797,"Wine - Harrow Estates, Vidal",C,2,$68.33,
05-3872214,Initation Crab Meat,A,50,$80.84,Western
27-6107129,Momiji Oroshi Chili Sauce,A,47,$14.69,Western
84-0850030,"Wine - Mas Chicet Rose, Vintage",C,17,$5.87,Western
77-5291174,Cheese - Asiago,,42,$68.83,Southern
70-0222851,Cookie Dough - Chunky,C,12,$79.50,Western
43-2672249,Rice - Long Grain,,32,$92.55,Western
08-7654188,Crab Brie In Phyllo,,63,$11.43,Western
17-7782429,Compound - Passion Fruit,B,6,$97.59,Western
35-7264275,Herb Du Provence - Primerba,A,38,$48.24,Southern
50-2652264,"Nut - Almond, Blanched, Whole",,81,$91.70,Northern
22-4598088,Soup Campbells,A,76,$49.61,Western
07-9928296,"Chicken - Breast, 5 - 7 Oz",B,97,$48.34,
98-7421628,"Bread - Bagels, Plain",C,99,$40.87,Northern
02-5478016,Rabbit - Whole,C,99,$61.11,Southern
61-4201713,Vinegar - Raspberry,D,37,$7.09,
00-3004811,Pepper - Cayenne,B,9,$65.83,Western
09-2768371,"Pepsi - Diet, 355 Ml",B,55,$25.14,
70-7132666,Wine - Pinot Grigio Collavini,B,2,$32.57,
74-1752772,Sugar - Fine,A,69,$39.50,Western
65-0788139,Oregano - Fresh,,21,$76.54,Northern
33-4570976,"Wine - Saint - Bris 2002, Sauv",B,87,$62.91,Eastern
45-3116980,Marjoram - Fresh,,19,$64.17,Western
21-2124324,"Soda Water - Club Soda, 355 Ml",C,72,$98.64,Eastern
29-0189264,Pork - Belly Fresh,D,15,$41.78,
32-1944744,Container Clear 8 Oz,B,97,$62.98,
66-2057685,"Veal - Inside Round / Top, Lean",B,4,$73.24,Northern
66-3028986,Quail - Jumbo,D,58,$50.07,
45-7842867,Bread - Triangle White,,67,$31.69,Southern
84-4562886,The Pop Shoppe - Lime Rickey,C,98,$86.47,Eastern
40-6719897,Cheese - Gouda,B,65,$82.36,Western
75-7886211,"Pork - Back, Long Cut, Boneless",D,7,$76.87,Northern
30-4569655,Cocoa Butter,,84,$19.65,Southern
76-7380695,Hummus - Spread,A,67,$48.40,Northern
85-3246530,Raspberries - Fresh,D,33,$38.17,Eastern
57-4750891,Sprouts Dikon,,98,$11.38,Northern
54-2798989,Grenadillo,B,59,$45.75,Southern
43-8023277,"Fish - Halibut, Cold Smoked",D,1,$68.39,Eastern
20-8796272,Sauce - Balsamic Viniagrette,,39,$14.12,
37-2622403,Onion - Dried,,4,$42.59,Eastern
95-8531159,Coffee - 10oz Cup 92961,D,31,$41.22,Western
82-5035981,Truffle Cups - Red,B,82,$87.65,Western
67-5751784,"Vodka - Hot, Lnferno",D,6,$87.37,Northern
28-1797767,"Tarragon - Primerba, Paste",B,86,$71.96,Eastern
46-7461876,Table Cloth 90x90 Colour,C,26,$15.99,Western
43-7312510,Grenadine,B,45,$96.05,Western
81-7701969,Corn Meal,B,56,$80.19,Eastern
55-3387866,"Lobster - Tail, 3 - 4 Oz",D,44,$14.47,Western
51-7487111,"Cheese - Cheddar, Old White",D,50,$89.61,Northern
15-3194415,Wine - Pinot Noir Latour,A,37,$60.31,Northern
36-7111830,Octopus,D,91,$76.83,
83-0241720,Beef - Inside Round,C,60,$52.10,Eastern
32-3804190,Cheese - Mascarpone,,14,$35.03,Northern
95-6770615,"Tart Shells - Sweet, 4",C,69,$40.50,Western
08-3994088,Honey - Lavender,D,26,$56.42,Southern
68-5158499,Dragon Fruit,C,94,$73.30,Western
22-1189256,Brandy Apricot,A,91,$74.37,Northern
90-4712084,Honey - Lavender,,22,$64.80,Western
48-2955502,Veal - Loin,B,2,$92.21,Northern
57-8573078,Venison - Racks Frenched,C,89,$27.20,Southern
14-9582155,Barley - Pearl,,40,$5.85,Western
35-0570522,Bay Leaf Fresh,,73,$84.15,Northern
98-2198187,Vanilla Beans,A,42,$31.83,Eastern
20-1478186,Raisin - Golden,D,41,$32.89,Southern
16-3610163,Beer - Upper Canada Light,C,69,$69.31,Western
33-8295129,Dehydrated Kelp Kombo,B,98,$28.64,Southern
58-0588046,Milk - Homo,D,32,$30.03,Southern
41-6083024,Salt And Pepper Mix - Black,B,63,$47.52,
22-9399652,Sun - Dried Tomatoes,C,5,$83.39,
72-9002942,Longos - Grilled Veg Sandwiches,,46,$5.91,Eastern
78-5561464,Pork - Backfat,B,49,$55.83,Eastern
26-8178543,Beef - Striploin,B,25,$63.83,Eastern
88-6282243,"Doilies - 8, Paper",D,31,$54.24,
66-2376999,"Pail - 15l White, With Handle",,46,$8.22,Eastern
13-9492659,Energy Drink Bawls,D,96,$50.40,Western
04-8214924,Pie Box - Cello Window 2.5,B,90,$6.80,
22-1958683,Chocolate Liqueur - Godet White,D,67,$21.29,Southern
74-0307340,Wine - Mondavi Coastal Private,B,68,$94.15,Western
49-8820965,Napkin White - Starched,D,95,$20.57,Eastern
78-3756666,Bread - Corn Muffaletta,,6,$94.74,Eastern
02-9453556,Bread - Malt,D,89,$9.91,
68-8845647,"Pepper - Red, Finger Hot",C,27,$45.33,Eastern
03-4937413,"Tomatoes - Vine Ripe, Red",C,64,$36.41,Southern
56-0607680,Lamb Shoulder Boneless Nz,,37,$25.44,Western
42-9579962,Steampan - Half Size Shallow,A,35,$22.74,Southern
19-2701397,Lettuce - Iceberg,C,65,$71.11,Eastern
38-1993508,Cheese Cloth No 60,A,37,$40.42,Northern
30-7298150,Shiratamako - Rice Flour,B,21,$93.84,Southern
62-5614518,Flour - Fast / Rapid,B,80,$23.18,
64-0990479,Limes,B,44,$36.85,Eastern
92-7976312,Bread - Pumpernickel,A,74,$79.55,Southern
58-9901117,Bread - French Stick,B,50,$6.29,Southern
42-8270606,Puff Pastry - Slab,C,70,$60.53,Eastern
90-3335012,Longos - Grilled Salmon With Bbq,A,14,$22.69,Southern
81-9969302,Sherbet - Raspberry,C,77,$18.16,Western
15-3200414,Pie Filling - Cherry,A,9,$42.69,Western
10-7969570,Beer - Paulaner Hefeweisse,C,90,$10.71,Northern
49-4126451,Ecolab - Mikroklene 4/4 L,B,13,$15.46,Southern
15-0297571,Chips Potato All Dressed - 43g,D,24,$32.99,Northern
71-6355236,Beer - Camerons Cream Ale,D,18,$6.84,Eastern
04-9433632,Vinegar - Tarragon,,74,$81.20,
22-4789071,Calypso - Lemonade,D,86,$54.52,
64-1253030,Curry Powder Madras,,50,$95.26,Eastern
